3/4/2025 8:21,,,,,,No,1,Edit contact info
3/4/2025 8:18,,,,,,No,3,unable to update contact information.
3/4/2025 8:18,,,,,,No,,
3/4/2025 8:14,,,,,,No,1,"I am trying to edit my information after setting up my account.  I get the message ""we'er sorry. Something went wrong. Refresh this page and try again."" When I refresh the issue is not resolved.  I can't continue this until I edit these fields."
3/4/2025 8:12,,,,,,No,,Ph #
3/4/2025 8:12,,,,,,,,
3/4/2025 8:09,,,,,,,,
3/4/2025 8:09,,,,,,,,Establish va.gov account
3/4/2025 8:09,,,,,,,,
3/4/2025 8:09,,,,,,No,1,"I got error messages trying to add my cell phone, email address and address to this file."
3/4/2025 8:08,,,,,,No,1,want to fill my prescription
3/4/2025 8:08,,,,,,No,,
3/4/2025 8:06,,,,,,No,2,Every time I try to update my profile information your website says that something went wrong.
3/4/2025 8:06,,,,,,No,5,Update personal info
3/4/2025 8:04,,,,,,,,
3/4/2025 7:59,,,,,,,,
3/4/2025 7:58,,,,,,,,
3/4/2025 7:58,,,,,,,,
3/4/2025 7:57,,,,,,No,3,"Add Contact Information on sign in page.  Keep getting error message ""Something went wrong on our end.  Please try again later"" for two days"
3/4/2025 7:54,,,,,,No,2,system will not allow me to update my address.  you have the wrong address
3/4/2025 7:53,,,,,,No,2,Sign up for id.me…after spending 15 min trying it shut down
3/4/2025 7:52,,,,,,No,1,s recordsee my medical
3/4/2025 7:51,,,,,,No,,
3/4/2025 7:48,,,,,,No,5,I was trying to set up a sign in link but the message that I receive is that something went wrong on your end
3/4/2025 7:45,,,,,,No,2,make sure I am ready for the new sign-in to my healthy vet.
3/4/2025 7:42,,,,,,No,2,Phone number
3/4/2025 7:38,,,,,,,,
3/4/2025 7:36,,,,,,No,1,could not edit phone or address
3/4/2025 7:34,,,,,,No,,Update my address
3/4/2025 7:33,,,,,,No,1,Update my address
3/4/2025 7:33,,,,,,No,1,Update my info
3/4/2025 7:31,,,,,,No,3,Complete I D Me
3/4/2025 7:27,,,,,,No,1,update personal/contact information
3/4/2025 7:27,,,,,,No,4,Add contact information for Virgil Wynn.
3/4/2025 7:26,,,,,,No,1,Could not update my contact information
3/4/2025 7:25,,,,,,,,
3/4/2025 7:24,,,,,,,,
3/4/2025 7:23,,,,,,No,2,Update personal information
3/4/2025 7:14,,,,,,No,,Update my contact information
3/4/2025 7:11,,,,,,No,4,
3/4/2025 6:57,,,,,,No,1,login for the first time-add my contact information
3/4/2025 6:42,,,,,,No,1,retrieve my disability claims letter
3/4/2025 6:34,,,,,,No,,
3/4/2025 6:29,,,,,,No,1,Verify that I am still married
3/4/2025 6:24,,,,,,No,3,"Mobile phone reuqired, I don't have one."
3/4/2025 6:14,,,,,,No,1,
3/4/2025 5:55,,,,,,,1,Cannot get on site. It is worthless for vets.
3/4/2025 5:31,,,,,,No,3,Update contact information
3/4/2025 4:53,,,,,,No,1,Trying to use the new sign in.  As usual the VA site is inop.
3/4/2025 4:14,,,,,,No,1,contact info
3/4/2025 4:10,1,The site won't allow me to complete the set-up.,1,1,1,,,
3/4/2025 3:21,,,,,,No,1,Update my contact information for account verification.
3/4/2025 3:20,,,,,,No,1,Complete my SHA for retirement.
3/4/2025 3:15,,,,,,No,3,
3/4/2025 3:12,,,,,,No,1,"you guys are asking for my contact information but im stationed in korea, what am i supposed to do? i only have a korean phone number"
3/4/2025 2:24,,,,,,No,3,
3/4/2025 2:24,,,,,,No,2,"Update Phone number, no option to input foreign numbers."
3/4/2025 2:15,,,,,,No,1,Add contact information
3/4/2025 1:26,1,"All I get when trying to register online is a error message saying ""we're sorry. something went wrong, refresh or try again later.""  It going on 2 months now with the same message with no resolution.",1,3,3,,,
3/4/2025 1:07,,,,,,No,1,"Verify information isn't; kicks me to ""Something Went wrong ""- twice.  So, now I cannot pay my bill on line."
3/4/2025 0:52,,,,,,No,3,input my contact information
3/4/2025 0:51,,,,,,,,
3/4/2025 0:39,,,,,,No,1,"I was trying to create my account. Then I was at the part of updating my phone, email and.... The message i recieved is ""We're sorry. Something went wrong."
3/4/2025 0:35,,,,,,No,,
3/4/2025 0:29,,,,,,No,3,
3/4/2025 0:17,,,,,,No,1,"Update phone, email and address"
3/4/2025 0:04,,,,,,No,,"Enter phone #, address to system"
3/4/2025 0:03,,,,,,No,1,"I was not able to enter my contact information, I tried several times and continued to receive the same message. We're sorry. Something went wrong on our end. Please refresh this page or try again later. And I did but was unsuccessful."
3/3/2025 23:55,,,,,,No,2,"Sign in to VA.gov.  The system was having problems and would not let me enter my phone number, email address and mailing address and therefore I could not finish setting up my account"
3/3/2025 23:43,,,,,,No,1,Sign up for VA site on the enter mobile phone number site. Error message indicating something went wrong on your end.
3/3/2025 23:40,,,,,,No,4,"Clean house,,,reorganize"
3/3/2025 23:35,1,Unable to set password. won't let me in.,1,1,1,,,
3/3/2025 23:33,,,,,,No,2,Update my contact information.
3/3/2025 23:31,,,,,,No,2,Update my contact information.
3/3/2025 23:28,,,,,,No,2,have tried several times in the past and again the day before deadline to create what i need to use the site with ease with the new adjustments. It never works. Also Not at all satisfied and Dissatisfied seems redundant?
3/3/2025 23:22,,,,,,No,3,Dependent verification
3/3/2025 23:16,,,,,,No,,Sign up for new site.
3/3/2025 23:08,,,,,,,,
3/3/2025 23:00,,,,,,No,1,update my information
3/3/2025 22:27,,,,,,No,1,Something always wrong on your end. Think should extend date with these issues.
