Feedback Received (ET),VA.gov Experience,Why did you select that rating?,VA.gov Understanding,General VA Trust,Trust in VA Commitment to Veterans,Were you able to do your task today?,What is your overall satisfaction with this site?,What task were you trying to do today?
12/31/2025 14:17,,,,,,No,2,"I tried to add a contact number, but you only allow US numbers. I am active duty stationed overseas with no US number."
12/31/2025 12:29,,,,,,No,3,"finish updating contact info, but I do not have a mobile phone number, only a landline."
12/31/2025 10:32,,,,,,Yes,,
12/31/2025 3:46,,,,,,No,2,"Update personal contact information. The issue is that it asks for a mobile phone number that is US only. However, I am stationed overseas (as is indicated by me selecting ""Armed Forces Europe (AE)"" as the state in the mailing address. It makes it so I can't add any number to be contacted at or get past step 1 to step 2. Maybe make it so you can have a drop down for the country with the flag your phone is in and the country code displayed?"
12/30/2025 23:48,,,,,,Yes,1,"How many times do I need to ""verify"" who I am before you can ""record"" it!??"
12/30/2025 17:41,,,,,,Yes,4,Update address
12/30/2025 17:39,,,,,,,,
12/30/2025 15:10,,,,,,No,1,SOme mos us simply don't have miobile phones!!! So xdtop asking!
12/30/2025 12:34,5,,,,,,,
12/30/2025 10:24,,,,,,No,2,"I live permanently outside the US.  I will soon lose access to my PSC address, how can I enter a UK address as my primary residence?"
12/30/2025 10:23,,,,,,No,2,I live outside the united states and only have a UK phone.  There is no way for me to enter a US mobile number since I do not have one.
12/30/2025 9:37,,,,,,No,1,Won’t take my phone numbers
12/30/2025 9:13,,,,,,No,1,Login. I do not have a mobile phone
12/30/2025 8:26,,,,,,No,2,Was trying to Update my home address this also Is getting rejected. I’m not sure what’s up with this website but there’s a problem.
12/30/2025 8:24,,,,,,No,,The platform will not accept my 10 digit phone number.
12/30/2025 7:27,,,,,,Yes,2,"verifying who i was to this stupid computer system. Now that you've forced me to aggregate all of my identifying information (soc sec number, drivers license, facial image, DOB, physical address, email address, and phone number in one place, what are you going to do when that system is hacked and my data exposed world wide?"
12/30/2025 3:14,,,,,,No,1,"Updating my mobile phone number. You are requesting my mobile phone number, but you only allow US phone numbers in this field. I am a veteran living overseas and do not have a US number. This has been an issue for years and it still hasn't been addressed. Not every veteran lives/works in the United States and has a stateside phone number available to them. OPEN THIS UP TO INTERNATIONAL NUMBERS."
12/29/2025 22:16,,,,,,No,3,I live outside the US So I can't provide phone number.
12/29/2025 21:10,5,Everything I needed was easy to find,5,3,4,,,
12/29/2025 19:05,,,,,,No,,"Fill in a German number, because I live in Germany."
12/29/2025 18:55,,,,,,No,1,I received a message saying I needed to verify my email address. But after I signed in it said something had gone wrong on your end.
12/29/2025 17:32,,,,,,No,,
12/29/2025 17:21,,,,,,Yes,,Get medical records..a lot of health problems
12/29/2025 16:41,5,very impressive,3,5,5,,,
12/29/2025 16:20,,,,,,No,2,update my information
12/29/2025 15:54,,,,,,Yes,3,Unable to enter German mobile phone number; do not have a US one.
12/29/2025 15:47,,,,,,Yes,4,I am not a veteran  I am a civilian employed to VAHvhcs /PCS
12/29/2025 14:25,,,,,,No,1,I live in Germany.  Working at Spangdahlem Airbase Chapel.  I only have a German Phone Number... Contact info will not accept a German number
12/29/2025 14:12,,,,,,No,2,Home address.  Update page would not accept street address.
12/29/2025 14:11,5,They needed me to update my information,5,5,,,,
12/29/2025 14:05,4,,4,4,4,,,
12/29/2025 13:59,,,,,,No,4,Couldn’t update phone number and email address
12/29/2025 12:37,5,,5,3,3,,,
12/29/2025 0:48,,,,,,No,3,ADD MY MAILING ADDRESS
12/28/2025 6:31,,,,,,No,2,Change mobile phone number. Your site states that this is required. But your site will not accept a non-US phone number. I do not have a U.S. phone number.  I am serving as a U.S. government civilian employee in Europe after having served a 30 year career in the USAF. Why are you discriminating against me?
12/26/2025 8:44,,,,,,No,2,"I’ve received at least 3 emails asking me to add my cell number and email and when I finally have a few minutes to do it, I receive an error that says it can’t be updated right now."
12/25/2025 19:19,,,,,,No,2,I can't update my phone number because it's INTERNATIONAL. Really need to update this section folks.
12/24/2025 8:32,,,,,,,,
12/23/2025 13:12,,,,,,No,4,Add a second phone number
12/23/2025 11:06,,,,,,,,
12/23/2025 10:26,,,,,,No,2,update contact info
12/22/2025 19:22,,,,,,No,2,Unable to update email address
12/22/2025 18:43,,,,,,,,
12/22/2025 18:07,,,,,,No,,Cannot update address
12/22/2025 10:57,,,,,,Yes,3,Update info
12/22/2025 10:42,,,,,,No,,
12/22/2025 5:52,,,,,,No,1,"I can not update my my information.  I love in Germany and have an army address, yet i can not put in my German Phone number.  If you do not want to allow foreign phone numbers, please but an addition information box, call it ""Additional Notes""  so i can but my information in that box."
12/21/2025 19:32,,,,,,No,3,Site not accepting updated emai address
12/21/2025 14:35,,,,,,No,2,"trying to update my cell number, email address and mailing address. The site always says ""try again later"""
12/21/2025 14:28,,,,,,Yes,4,Application for VA pulmonary physician position
12/19/2025 14:59,,,,,,,1,I don't have a mobile phone to receive one time code for signon.   I only have a landline and email address.
12/19/2025 13:42,,,,,,No,3,"keeps asking for my ""mobile phone number"" and I don't have one..."
12/19/2025 10:51,,,,,,No,,Check out my benefits
12/18/2025 15:07,,,,,,Yes,,
12/18/2025 12:08,,,,,,,,
12/18/2025 0:32,,,,,,No,,
12/17/2025 21:29,,,,,,Yes,5,Checking to make sure that both my address and phone number were current.
12/17/2025 15:29,3,,4,4,5,,,
12/17/2025 4:12,,,,,,No,2,Trying to add my contact information. I do not have a US mobile phone number. I cannot get passed this page. Please advise.
12/16/2025 13:16,,,,,,,,
12/14/2025 8:01,,,,,,Yes,3,
12/12/2025 15:28,,,,,,No,5,"I don't have a mobile phone number; I don't have a cell phone. Thank you, John Brennan last four 7580."
12/12/2025 9:37,,,,,,No,5,I was told to submitt my Telefon number but I live in Germany and not the USA. Should I give MY Aunts or a Family members number? I don't want to start changing things in fest of getting locked Out again. Thanks to ALL for helping Me access my account again.
12/11/2025 16:34,,,,,,No,1,"Contact information on profile requires a mobile telephone, but I have no mobile number to submit."
12/11/2025 16:34,,,,,,No,,
12/11/2025 14:38,5,Because the veteran service coordinator is very helpful and has help me facilitate the process of applying for the G.I Bill,2,3,5,,,
12/11/2025 12:36,,,,,,No,1,I live in Germany.  Your VA.gov site will only accept US phone numbers.  How am I to get my Form 1095-B if I can't log in. e-mail me fa.baize@gmail.com
12/11/2025 11:47,4,Unable to update mailing address,,,,,,
12/11/2025 11:00,,,,,,Yes,4,
12/9/2025 21:02,,,,,,No,1,I do not have a cell phone or smart phone.
12/9/2025 20:37,,,,,,No,1,update contact information. I don't currently live in the US so I don't have a US mobile number but the site will only take a US mobile number. I have a US landline but that isn't an option on the site.
12/9/2025 13:11,,,,,,No,1,"Obtain copy of VA Disability and amount, but as I have not logged in to site for a while, my prior personal contact info has somehow not been saved AND I cannot update the info as requested to proceed to pages I require access to"
12/9/2025 11:14,,,,,,No,2,update phone number
12/8/2025 23:45,,,,,,No,2,Question regarding my Disability payments. Will my wife get any part when I die?
12/8/2025 23:08,,,,,,No,2,Adding my contact information
12/8/2025 20:20,,,,,,,,
12/8/2025 19:39,1,Logging in with the flawed/broken govt.id and even the working id.me systems are ridiculously cumbersome and difficult. I don't see how any older person can do this.,1,1,1,,,
12/8/2025 19:28,,,,,,No,1,"File for benefits, first I needed someone to complete login, now I can't update my contact info, further delaying my claim application"
12/8/2025 19:04,,,,,,No,1,Input my contact info. I tried repeatedly. Even restarted my laptop. It just keeps telling me something went wrong and to refresh the page or try again.
12/8/2025 18:35,,,,,,No,3,trying to applly for health care was on the phone for 3.5 hrs and never got through.
12/8/2025 17:15,,,,,,No,,
12/8/2025 16:35,,,,,,No,,
12/8/2025 14:55,,,,,,No,1,Update my phone number but will not allow me. The error message pops up
12/8/2025 13:44,,,,,,No,1,Create a new login for and update profile information
12/8/2025 13:05,,,,,,No,3,I only have a land line phone
12/8/2025 12:35,2,I'm trying to update my contact information and it's telling me it's,2,3,5,,,
12/8/2025 10:45,,,,,,Yes,1,
12/8/2025 9:20,,,,,,No,1,my 10 digit phone number is not accepted
12/8/2025 7:14,,,,,,Yes,3,
12/8/2025 1:28,2,"No information is updating and I received a notification of my ""Participant ID"" not being uploaded. However, when calling the support line the call did not go through either.",3,2,3,,,
12/7/2025 23:14,,,,,,No,3,i have no mobile phone
12/7/2025 18:23,,,,,,No,1,Update contact information
12/7/2025 18:12,1,I have been trying to update and submit claims and apply for my gi benefits but it comes up saying theres a problem.,5,2,2,,,
12/7/2025 15:41,,,,,,Yes,4,File for VA benefit.
12/7/2025 7:46,,,,,,No,2,Update my mailing address.
12/7/2025 0:30,,,,,,No,,check my caregiver stipend application
12/6/2025 23:14,,,,,,No,3,"find info on VA home loan process. Unable to complete task - stated my phone number and email is missing which is strange because I have received emails. The page for the phone number has an error message saying ""we cant update"" so I'm not sure what to do about that."
12/6/2025 20:19,,,,,,No,1,"Clear or even read message that I repeatedly get notifications of, but I cannot find. Every day I get an email saying I have a message, when I check, I have no message."
12/6/2025 17:52,,,,,,No,,
12/6/2025 16:27,,,,,,No,1,Not accepting my cell phone number
12/6/2025 15:19,,,,,,No,2,"update personal info. After hitting update, the page either froze of said it can't update now, return later"
12/6/2025 13:33,,,,,,No,,
12/6/2025 12:56,,,,,,No,,"Add mobile phone number. You require US numbers only, but I have a Mexican cell phone (+52 646 131 4112)."
12/6/2025 11:04,,,,,,,,
12/5/2025 17:14,,,,,,No,,"Do I qualify for medical coverage, I am a Veteran of USAR."
12/5/2025 14:18,,,,,,Yes,3,Sould have a confirmation notice that lets the user know that the input has been saved!
12/5/2025 14:15,,,,,,No,1,"The system couldn't load the phone number that was requested! Maybe this site should retrieve the current information from the login.gov website, instead of asking for information that already exists.   Not impressed one iota at the programming involved here!!!!"
12/5/2025 12:18,,,,,,No,2,
12/5/2025 9:55,,,,,,No,1,Having problems with mobile phone update.. I seem to be going round and round in a circle.. I bet I have signon to ID.me 25 times in the last 2 days trying to get this to work..
12/5/2025 9:01,,,,,,No,2,"Unable to update phone number, try again later"
12/5/2025 8:56,1,"Trying to make me provide biometric data to a third party just to log in to a portal for benefits I earned with the government is absurd. This isn't like signing up for a discount code on some online purchase - this is a GOVERNMENT WEBSITE and there's no reason for service members to have to provide biometrics to a third party in exchange for using it.  Additionally, after I figured out how to log on with login.gov and I tried to update my contact info in my profile, the site doesn't function correctly after updating said information - instead returning a message to the user that makes you think your update failed.",2,1,1,,,
12/5/2025 7:51,,,,,,No,1,get a veterans ID card
12/5/2025 6:27,,,,,,No,3,i need to update banking information for my mother-I am her representative and account was compromised
12/4/2025 23:44,,,,,,,,
12/4/2025 22:05,,,,,,Yes,4,
12/4/2025 16:22,,,,,,No,2,
12/4/2025 16:19,1,unable to log in for months...,1,1,3,,,
12/4/2025 16:07,,,,,,No,2,update email
12/4/2025 16:05,,,,,,No,3,Trying to attach my mobile number to my account :  720.862.7590
12/4/2025 15:35,,,,,,No,3,update my phone number
12/4/2025 13:27,2,1st time on here tells me i need to update email then sorry cant do this right now,2,3,3,,,
12/4/2025 13:16,1,I tried to update my information and it wouldn't let me.,3,2,2,,,
12/4/2025 12:51,5,"Website was easy to navigate, and video call for identification was less than five minute which is outstanding. Thank you.",5,5,5,,,
12/4/2025 11:48,,,,,,No,1,update contact information
12/4/2025 11:41,1,,,,,,,
12/4/2025 11:25,1,Nothing accomplished. Changing these systems should make it smoother for the users NOT FORT KNOX. I HAVE AN APPT Today.,3,1,3,,,
12/4/2025 10:44,,,,,,No,2,"I'm trying to update my contact information because what it on file is incorrect.  I tried updating my phone number, email address, and mailing address, but your website states, ""We're sorry. We can't update your information right now. We're working to fix this problem. Try again later."" I have gotten this message periodically for quite some time now. When will the issue be fixed? None of the contact information you have for me is correct.  My phone number is 808-271-2301, my personal email address is tmm.568@gmail.com, and my mailing address is 45-124 Awele Place Kaneohe, HI 96744. Maybe you can update my info since I cannot."
12/4/2025 0:25,,,,,,No,3,update contact information. you only take a U.S. phone number and i do not live in the U.S. I do have a FPO AP mailing address but cannot update that due to not having a U.S. phone number
12/3/2025 15:12,,,,,,Yes,4,update contact info
12/3/2025 14:29,,,,,,No,1,Said it couldn't update my info right now.  If they can't update it why did they ask for it?  Very annoying
12/3/2025 10:39,,,,,,No,3,I got error message we're sorry we can't update your information.
12/3/2025 9:31,,,,,,Yes,3,
12/2/2025 22:41,,,,,,No,,This site wouldn't accept my home address.
12/2/2025 20:06,,,,,,,,
12/2/2025 18:26,,,,,,No,2,I'm trying to add a phone number to my profile and have a Japanese phone number. Only US numbers are accepted. What should I do?
12/2/2025 18:26,,,,,,No,2,view medical records
12/2/2025 18:06,,,,,,No,1,Update email and marriage status
12/2/2025 18:00,,,,,,No,1,
12/2/2025 15:41,,,,,,No,2,"Update mailing address.  Your site has it, but states it can’t proceed without more information.  Your phone number to start a disability claim didn’t help."
12/2/2025 15:00,1,I didn’t accomplish an important activity as I was continuously redirected. After an hour of going in circles I still do not have my wife enrolled in Tricare.,5,1,1,,,
12/2/2025 14:36,,,,,,No,1,unable to update my personal information that needs to be completed by 12-04-2025
12/2/2025 14:33,,,,,,No,1,update information
12/2/2025 14:06,,,,,,No,1,update my cell phone number
12/2/2025 14:01,,,,,,Yes,4,email change
12/2/2025 12:16,,,,,,No,4,update my email address and the site continues to tell me that my email address is not valid
12/2/2025 11:51,,,,,,No,2,
12/2/2025 11:45,,,,,,No,2,UPDate email address. 1st - you ask me to update 2nd - you then tell me you can't complete the task - - - -  Kind of a crazy way to do business isn't it?
12/2/2025 11:11,,,,,,Yes,3,sign up for VA benefits
12/2/2025 10:32,,,,,,No,3,Update phone number
12/1/2025 21:09,,,,,,No,2,"provide update on my contact information. It kicked me off the website. Second time today!  so frustrating. My husband passed 3 weeks ago. He was a vet with 100% disability.  The VA website is very poor, in my opinion."
12/1/2025 19:50,,,,,,,,
12/1/2025 19:47,,,,,,No,4,I HAVE BEEN ASKED TO PROVIDE VA WITH MY MOBILE PHONE.   I do NOT use a Mobile Phone. I only have a Land Phone Line.
12/1/2025 18:06,,,,,,No,1,"Update my email. Your form says that it is not a valid email. Your validation is frustrating, how do you expect me to receive correspondence when you won't allow my correct email"
12/1/2025 18:04,2,"I'm trying to update my contact information, which the va has asked me for. It's my mobile phone number. But my home number/work number is my mobile phone number.  But the bad experience is that the attempt to update the number failed..  Also y'all are trying to take my husband off of my list of dependencies (he's the only one). But I didn't get a phone call. I don't check postal mail regularly and my email on this account is old, I still have it but don't check it frequently anymore.",4,2,2,,,
12/1/2025 17:36,,,,,,No,2,"Trying to log in as Family member, with ID.me,  to use BTSSS for travel reimbursement."
12/1/2025 15:04,,,,,,Yes,4,
12/1/2025 14:17,1,I had to try to log in several times before it would let me log in. I also have been trying to verify my GI Bill and it's not showing. I am gearing up for a lengthy phone call with what is most likely going to be a long series of holds. Wish me luck.,3,1,2,,,
12/1/2025 13:22,,,,,,,,
12/1/2025 13:09,,,,,,No,1,Update phone number
12/1/2025 13:04,1,Nothing I am attempting to do is working and I keep recieving error codes.,1,1,1,,,
12/1/2025 12:45,5,,5,5,5,,,
12/1/2025 12:41,,,,,,No,3,I don't own a mobile phone!
12/1/2025 12:21,,,,,,No,2,update my phone #
12/1/2025 12:18,,,,,,No,2,COULD NOT UPDATE INFORMATION
12/1/2025 11:34,,,,,,No,1,LOG IN
12/1/2025 11:34,4,,,,,,,
12/1/2025 5:26,,,,,,No,,Enter phone number but I live in Germany. Do not have a us number
12/1/2025 4:50,,,,,,No,,I am unable to provide my mobile number because it is not a stateside number
11/30/2025 16:57,1,Can never access anything,,,,,,
11/30/2025 13:39,,,,,,No,2,Add mobile phone number but I do not have US number because I do not live in the US.
11/29/2025 20:25,,,,,,No,2,We’re sorry. We can’t update your information right now. We’re working to fix this problem. Try again later.
11/29/2025 9:11,,,,,,,,
11/29/2025 9:08,,,,,,No,1,"keep getting ""We're sorry."" messages about problems on your end."
11/28/2025 20:00,,,,,,No,3,Edit phone number
11/28/2025 19:37,,,,,,No,3,UNABLE TO UPDATE TELEPHONE NUMBER AS MY PLACE OF RESIDENCE IS COSTA RICA MY PHONE # 506-8372-8504
11/28/2025 18:24,,,,,,No,1,update contact info
11/28/2025 12:57,5,"everyone i talked with were very helpful, kind.",4,5,5,,,
11/27/2025 19:57,,,,,,Yes,5,complete changes in personal email
11/27/2025 0:32,,,,,,No,3,"I don’t have a US mobile number. What should I enter then, any help would be appreciated"
11/27/2025 0:30,3,This popup window appeared before I could verify my input was completed.,2,2,2,,,
11/26/2025 20:17,5,,5,5,5,,,
11/26/2025 13:43,1,because it won't let me do anything besides log on.,3,2,1,,,
11/26/2025 11:59,,,,,,No,1,"Update my address as requested. There is an error message   ""We’re sorry. We can’t update your information right now. We’re working to fix this problem. Try again later."""
11/26/2025 11:17,5,,5,3,4,,,
11/26/2025 10:26,,,,,,No,1,"I DO NOT HAVE A MOBILE PHONE, SO STOP ASKING ME FOR A MOBLE PHONE NUMBER ! NOT EVERYONE IN THE FU@#ING WORLD HAS A MOBILE PHONE."
11/26/2025 10:01,4,,4,3,2,,,
11/26/2025 1:54,,,,,,No,4,Register for home health
11/25/2025 19:19,,,,,,No,2,print out some forms
11/25/2025 18:26,,,,,,,,
11/25/2025 16:51,,,,,,Yes,3,Live
11/25/2025 15:50,,,,,,No,3,trying to let you know that I do not have a mobile fone
11/25/2025 15:40,,,,,,No,1,Update phone number
11/25/2025 15:25,,,,,,Yes,3,
11/25/2025 15:21,,,,,,No,3,
11/25/2025 13:49,,,,,,No,3,
11/25/2025 11:02,,,,,,No,2,I tried scheduling an appointment but was prompted to update my contact information first.  It asked for my phone number but said there was a problem each time I tried to save it.
11/25/2025 10:10,,,,,,No,1,update contact info and it just keeps showing Loading....
11/25/2025 9:41,,,,,,No,1,ubable to update phone number
11/25/2025 7:20,,,,,,No,,"I don’t own a phone. Haven’t for years. I don’t have a permanent address, just a mailing address. Got it?"
11/24/2025 20:40,,,,,,Yes,,
11/24/2025 19:15,,,,,,No,,Updating phone number
11/24/2025 18:06,,,,,,Yes,4,
11/24/2025 14:12,,,,,,No,,
11/24/2025 13:32,,,,,,No,,
11/24/2025 11:38,,,,,,No,2,Your system is not accepting my 10 digit phone number even though it is correct.
11/24/2025 11:28,,,,,,No,,Don’t use a mobile phone so stop asking me for a number.
11/24/2025 5:51,,,,,,,,
11/23/2025 20:39,,,,,,No,2,update my OMB info
11/23/2025 19:28,,,,,,No,,Update e-mail. Check claims.
11/23/2025 17:15,,,,,,,,
11/23/2025 13:46,,,,,,,,
11/23/2025 10:29,5,I'm happy.,5,5,5,,,
11/23/2025 10:03,4,,3,3,3,,,
11/23/2025 6:31,,,,,,,,
11/22/2025 21:30,,,,,,No,,
11/22/2025 16:50,,,,,,No,2,Address change  No US phone number
11/22/2025 14:16,2,unable to update info,3,3,4,,,
11/22/2025 12:39,,,,,,,4,VA database only accepts US cellphone numbers... I have a German cellphone number... I can not update contact info.
11/22/2025 10:10,5,,,,,,,
11/22/2025 5:22,,,,,,No,3,you keep asking for mobile phone number and I do not have a mobile phone!!!
11/21/2025 22:03,,,,,,No,2,Enter mobile phone number into system.
11/21/2025 19:56,,,,,,No,3,UPDATE EMAIL ADDRESS
11/21/2025 19:44,,,,,,No,,"Whiskey Tango Foxtrot, I thought we all went back to work"
11/21/2025 15:03,,,,,,No,1,"Reginald Wayne Davis  9803 Texas Cut Ln Rosharon TX 77583  453579635, 05300174  Driver's Licenses Number.  I am trying to assist my son get into Aviation  School in Houston"
11/21/2025 14:40,,,,,,,1,update my contact information
11/21/2025 14:06,4,,5,5,5,,,
11/21/2025 8:47,,,,,,Yes,4,Check site for updates
11/20/2025 20:30,,,,,,Yes,4,Just updating my contact information
11/20/2025 17:22,4,,2,4,3,,,
11/20/2025 15:52,,,,,,,,
11/20/2025 14:35,,,,,,No,2,"I live abroad and don't use a US phone any more, you might want to allow adding international phone numbers."
11/20/2025 12:55,,,,,,Yes,,submit message to endocrinology
11/20/2025 11:44,,,,,,No,2,Provide my mailing address
11/20/2025 10:43,,,,,,No,1,"entering my personal email address, which the site would not accept as a valid e-nail address, probably because an insufficiently long field is being used."
11/20/2025 10:23,3,I cannot update my information as requested.,3,3,2,,,
11/20/2025 8:25,,,,,,Yes,4,
11/20/2025 7:55,,,,,,Yes,5,
11/20/2025 0:05,,,,,,No,,Update phone number and address
11/19/2025 21:39,5,Richard Hood 587-33-5056,4,3,4,,,
11/19/2025 20:42,,,,,,Yes,4,Was able to sign in to my account.  Attempting to find information on my life insurane benefits.
11/19/2025 18:13,,,,,,No,,
11/19/2025 17:33,,,,,,Yes,,
11/19/2025 17:02,,,,,,No,1,
11/19/2025 14:54,,,,,,No,1,update contact information
11/19/2025 14:23,,,,,,,,
11/19/2025 14:01,,,,,,,2,Your program keeps putting my email address in ALL CAPS.  My email address is all lower case.
11/18/2025 20:34,2,,,,,,,
11/18/2025 19:28,,,,,,No,2,"I was verifying my contact information and it kept hanging up and said ""We're working on the system"" or something, I can't read it because this pop up is blocking it atm."
11/18/2025 19:22,,,,,,No,3,Sign up with ID.ME
11/18/2025 18:26,,,,,,No,1,Trying to update information to get a veterans ID card.
11/18/2025 17:21,,,,,,No,1,"just trying to sign up as a vet.  va.gov website is wonky and buggy.     repeatedly pages will not load, multiple password checks with login.gov and no results.   Poor offering of customer service."
11/18/2025 16:34,,,,,,Yes,4,
11/18/2025 16:32,,,,,,No,2,Edit personal information
11/18/2025 13:28,,,,,,No,1,Sign in to  VA.GOV
11/18/2025 12:14,,,,,,,,
11/18/2025 11:36,,,,,,Yes,5,
11/18/2025 10:00,5,Easy to navigate,4,5,4,,,
11/18/2025 9:40,2,You have an error that you are fixing,4,3,5,,,
11/18/2025 6:40,,,,,,Yes,2,File a claim for Agent Orange and Pact Act exposure during my year long assignment to Takhli RTAFB Thailand from Dec 71 - Dec 72.  System is not USER FRIENDLY.
11/17/2025 18:44,,,,,,No,3,Enter my phone number
11/17/2025 13:55,1,"Site asks for mobile number, then I get a responsethat it can't update it.",2,1,1,,,
11/17/2025 13:14,,,,,,No,1,
11/17/2025 11:57,1,I could not even get to create a account.  I even tried the morning and afternoon.,,,,,,
11/17/2025 10:47,,,,,,No,3,"The request for a mobile phone number is limited to U.S. numbers only. As a member stationed overseas, I cannot provide a valid number. Recommend allowing any number to be input."
11/17/2025 1:52,,,,,,No,1,Cannot enter or edit the mobile phone number.
11/17/2025 1:34,,,,,,No,2,"1. There is no possibility to enter a foreign phone number. Unfortunately I do not have a U.S. one and this causes a breakdown in communication. 2. I send questions but its difficult to receive answers because nobody can reach me by phone, its difficult to find the electronic messages in the website. 3. Authentication for website access. I opted for codes (do not know how to obtain other forms). The site provided me some codes to save but I already used them up. Now I won't have access to this site any longer. This needs to be improved if you want veterans to have access. 4. Lastly overall the site is good. Clear info on the processes and how to make claims. We just need to work on the interface for communication with veterans and access."
11/16/2025 22:29,2,my info is not updating,4,3,4,,,
11/16/2025 19:53,,,,,,No,2,just put in my address
11/16/2025 17:41,,,,,,No,,Update email address
11/16/2025 13:37,,,,,,No,2,"I was trying to contact the main VA business office  to request that my email address be removed form the Nevada VA.  I have not lived in Nevada since 1990; but, I keep getting emails from Southern Nevada VA.  It is a waste of my time and a waste of VA time. I can ""Unsubscribe"" from the Southern Nevada VA emails; however, when I click on ""Unsubscribe"" it warns that my ""VA account, once closed, cannot be re-opened."" So, I did not unsubscribe for fear that my VA account will be closed.  Please remove my email from the Southern Nevada VA email list."
11/16/2025 12:10,2,I am unable to update my contact information.,3,3,4,,,
11/16/2025 8:51,,,,,,No,3,Trying to update my contact information and system will only allow US mobile numbers. I live innn England
11/15/2025 21:58,,,,,,Yes,5,
11/15/2025 20:57,1,,1,1,1,,,
11/15/2025 20:50,,,,,,No,1,set up banking info or caregivers benefits
11/15/2025 15:22,,,,,,No,,Was not able to enter my contact number
11/15/2025 12:37,,,,,,No,1,Access my VA to send information to my doctor
11/15/2025 12:13,5,I have not had any issues.,5,3,4,,,
11/15/2025 10:47,4,"I do not have a cell phone, only a landline.  I was able to refill my script.",3,3,4,,,
11/15/2025 6:19,3,Didn’t really work,2,3,3,,,
11/14/2025 23:19,,,,,,No,,
11/14/2025 15:38,,,,,,No,1,
11/14/2025 15:02,,,,,,No,3,You ask me to update my information and then give me a message saying you can't? Plus I'm still waiting for a response about my Certificate of Eligibility.
11/14/2025 8:10,,,,,,No,1,"JUST TO GET ACCESS first!!! ...""text to verify"" over and over. e-mail, confirm over and over.  Why multiple circles?"
11/14/2025 6:31,,,,,,No,1,Update my number although my number hasn’t changed in years
11/13/2025 22:46,3,it's just slow.,3,3,3,,,
11/13/2025 22:18,5,It has been easy to use and no extra effort is needed,4,3,4,,,
11/13/2025 21:41,,,,,,No,1,Trying to update my personal info and the system will not let me
11/13/2025 18:42,,,,,,No,5,
